City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Olinda,BR,-8.0089,-34.8553,85.73,66,40,9.22,scattered clouds
191,Champasak,LA,14.75,106.0,77.0,55,95,0.16,overcast clouds
192,Saint Anthony,US,45.0205,-93.218,12.04,66,0,5.99,clear sky
193,Acapulco,MX,16.8634,-99.8901,77.27,61,5,2.28,clear sky
194,North Platte,US,41.1239,-100.7654,15.69,88,0,1.99,clear sky
195,Vardo,NO,70.3705,31.1107,23.2,86,100,36.44,light snow
196,Watsa,CD,3.0372,29.5355,85.69,27,65,4.79,broken clouds
197,Esperance,AU,-33.8667,121.9,64.24,93,33,9.4,scattered clouds
198,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,70,40,32.21,scattered clouds
199,Vaini,TO,-21.2,-175.2,78.96,89,40,6.91,scattered clouds
200,Tautira,PF,-17.7333,-149.15,80.62,78,100,19.48,overcast clouds
201,Samarai,PG,-10.6167,150.6667,81.41,79,75,7.34,broken clouds
202,Marzuq,YE,14.4,46.4667,67.82,39,80,3.85,broken clouds
203,Chhatak,BD,25.0333,91.6667,64.44,52,49,5.59,scattered clouds
204,Katherine,AU,-14.4667,132.2667,75.52,100,100,4.61,moderate rain
205,Rabo De Peixe,PT,37.8,-25.5833,62.11,51,40,12.66,scattered clouds
206,Huarmey,PE,-10.0681,-78.1522,74.39,77,30,6.67,scattered clouds
207,Koppang,NO,61.5706,11.0555,19.17,96,92,1.34,overcast clouds
208,Nuuk,GL,64.1835,-51.7216,14.61,85,100,0.0,overcast clouds
209,Portland,US,45.5234,-122.6762,41.41,90,7,1.99,clear sky
210,Palmer,US,42.1584,-72.3287,17.69,60,8,1.01,clear sky
211,Husavik,IS,66.0449,-17.3389,35.51,69,92,37.2,overcast clouds
212,Aripuana,BR,-9.1667,-60.6333,82.94,67,100,1.68,overcast clouds
213,Porto Walter,BR,-8.2686,-72.7439,84.69,64,52,4.07,heavy intensity rain
214,Hofn,IS,64.2539,-15.2082,41.49,69,76,36.78,broken clouds
215,Kirakira,SB,-10.4544,161.9205,80.38,87,87,6.53,overcast clouds
216,Tsiroanomandidy,MG,-18.7667,46.0333,67.6,97,100,5.64,moderate rain
217,Cherskiy,RU,68.75,161.3,-50.6,100,100,5.88,overcast clouds
218,Lompoc,US,34.6391,-120.4579,57.13,79,0,6.91,clear sky
219,Cabo San Lucas,MX,22.8909,-109.9124,68.5,74,1,4.88,clear sky
220,Caravelas,BR,-17.7125,-39.2481,84.92,59,11,9.91,few clouds
221,Erenhot,CN,43.6475,111.9767,8.22,78,12,9.84,few clouds
222,Gawler,AU,-34.6,138.7333,73.47,88,100,10.63,light rain
223,Pochutla,MX,15.7432,-96.4661,74.82,53,0,2.21,clear sky
224,Nome,US,64.5011,-165.4064,21.27,86,100,14.97,light snow
225,Longyearbyen,SJ,78.2186,15.6401,30.04,69,20,17.27,few clouds
226,Marshall,US,34.3834,-86.3333,30.02,84,100,1.99,overcast clouds
227,Puerto Escondido,MX,15.85,-97.0667,72.43,83,0,6.91,clear sky
228,Yashkul,RU,46.1711,45.3435,36.28,85,100,13.49,overcast clouds
229,Sturgis,US,41.7992,-85.4192,20.71,79,100,14.97,overcast clouds
230,Sampit,ID,-2.5333,112.95,75.29,93,60,3.6,broken clouds
231,Goiatuba,BR,-18.0125,-49.3547,83.71,57,45,2.24,scattered clouds
232,Labytnangi,RU,66.6572,66.4183,14.41,87,100,7.45,overcast clouds
233,Pechea,RO,45.6333,27.8,31.01,40,89,2.48,overcast clouds
234,Winnemucca,US,40.973,-117.7357,28.11,80,0,4.61,clear sky
235,Nemuro,JP,43.3236,145.575,23.99,78,49,10.38,scattered clouds
236,Castilho,BR,-20.8722,-51.4875,95.92,30,1,4.43,clear sky
237,Awjilah,LY,29.1081,21.2869,62.87,30,60,10.96,broken clouds
238,Saint Austell,GB,50.3383,-4.7658,46.96,57,100,8.05,overcast clouds
239,Sitka,US,57.0531,-135.33,46.29,81,100,14.97,heavy intensity rain
240,Iraucuba,BR,-3.7461,-39.7833,91.96,41,49,6.55,scattered clouds
241,Korla,CN,41.7597,86.1469,26.89,66,79,6.11,broken clouds
242,Puerto Penasco,MX,31.3167,-113.5333,58.24,47,84,8.93,broken clouds
243,Cowra,AU,-33.8333,148.6833,61.27,69,0,6.29,clear sky
244,Xingcheng,CN,40.6167,120.7167,17.58,84,69,6.24,broken clouds
245,Beringovskiy,RU,63.05,179.3167,-3.89,96,100,14.23,light snow
246,Awbari,LY,26.5921,12.7805,65.39,22,0,5.64,clear sky
247,Souillac,MU,-20.5167,57.5167,84.58,79,75,16.11,broken clouds
248,Tombouctou,ML,20.0,-3.0,78.12,10,70,14.92,broken clouds
249,Champerico,GT,14.3,-91.9167,88.36,58,0,1.95,clear sky
250,Tiksi,RU,71.6872,128.8694,-3.89,90,100,12.62,overcast clouds
251,Saldanha,ZA,-33.0117,17.9442,76.78,57,35,13.65,scattered clouds
252,Torbay,CA,47.6666,-52.7314,19.58,77,20,13.8,few clouds
253,Montecristo,CO,8.2971,-74.4733,84.51,72,14,2.1,few clouds
254,Ketchikan,US,55.3422,-131.6461,43.27,93,100,17.27,moderate rain
255,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,88.16,54,3,4.21,clear sky
256,Provideniya,RU,64.3833,-173.3,7.27,94,100,17.09,light snow
257,Ornskoldsvik,SE,63.2909,18.7153,25.75,100,100,3.44,overcast clouds
258,Hovd,MN,48.0056,91.6419,0.59,80,13,6.22,few clouds
259,Muros,ES,42.7762,-9.0603,57.99,43,0,0.72,clear sky
260,Brae,GB,60.3964,-1.353,48.11,87,100,24.74,overcast clouds
261,Plettenberg Bay,ZA,-34.0527,23.3716,79.74,64,57,15.61,broken clouds
262,Sorkjosen,NO,69.8,20.9333,32.76,82,100,12.75,overcast clouds
263,Chuy,UY,-33.6971,-53.4616,91.47,51,14,5.14,moderate rain
264,Te Anau,NZ,-45.4167,167.7167,47.12,95,76,2.1,broken clouds
265,Lazaro Cardenas,MX,17.9583,-102.2,77.92,64,59,2.71,broken clouds
266,Kingman,US,35.1894,-114.053,46.02,59,56,11.65,broken clouds
267,Iqaluit,CA,63.7506,-68.5145,2.93,78,100,23.02,light snow
268,Ilulissat,GL,69.2167,-51.1,-4.16,80,98,8.25,overcast clouds
269,Kholm,RU,59.2667,32.85,5.59,99,52,4.14,broken clouds
270,Port Moresby,PG,-9.4431,147.1797,74.62,94,75,4.61,broken clouds
271,Ballina,AU,-28.8667,153.5667,69.76,88,100,13.8,light rain
272,Taywarah,AF,33.35,64.4167,-2.51,90,3,6.13,clear sky
273,La Ronge,CA,55.1001,-105.2842,-16.35,76,75,1.14,broken clouds
274,Egvekinot,RU,66.3167,-179.1667,-12.44,96,100,17.29,snow
275,Cockburn Town,TC,21.4612,-71.1419,78.53,70,0,17.4,clear sky
276,Turukhansk,RU,65.8167,87.9833,10.74,93,100,12.3,overcast clouds
277,Moroni,KM,-11.7022,43.2551,84.2,74,75,6.91,light rain
278,Brokopondo,SR,4.75,-55.1667,80.83,70,100,4.81,overcast clouds
279,Jilemnice,CZ,50.6089,15.5065,31.32,92,52,4.47,broken clouds
280,Verkhnetulomskiy,RU,68.6073,31.7962,1.53,90,100,7.78,overcast clouds
281,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,92.64,49,3,3.09,light rain
282,Kabompo,ZM,-13.5927,24.2008,75.61,66,4,5.99,light rain
283,Ixtapa,MX,20.7,-105.2,68.23,85,5,2.39,clear sky
284,Kizukuri,JP,40.8061,140.3861,31.95,82,96,4.92,overcast clouds
285,The Valley,AI,18.217,-63.0578,82.81,61,20,17.27,few clouds
286,Mezen,RU,65.8522,44.24,14.14,96,99,5.37,overcast clouds
287,Kuching,MY,1.55,110.3333,79.02,89,20,2.3,few clouds
288,Westport,US,41.1415,-73.3579,23.9,59,7,1.99,clear sky
289,Okakarara,NA,-20.5833,17.4333,87.24,18,21,15.12,few clouds
290,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,40,16.11,scattered clouds
291,Outjo,NA,-20.1167,16.15,87.57,19,91,11.7,overcast clouds
292,Kaitangata,NZ,-46.2817,169.8464,50.0,89,13,7.16,few clouds
293,Erzin,TR,36.9559,36.2,43.32,78,100,9.26,overcast clouds
294,Leningradskiy,RU,69.3833,178.4167,-19.7,96,100,10.27,overcast clouds
295,Baculin,PH,7.4525,126.5842,76.53,88,100,8.72,moderate rain
296,Vostok,RU,46.4856,135.8833,-16.22,100,99,4.27,overcast clouds
297,Santa Ines,BR,-3.6667,-45.38,89.85,58,22,1.66,few clouds
298,Ulladulla,AU,-35.35,150.4667,63.88,78,95,4.0,overcast clouds
299,Maryville,US,35.7565,-83.9705,31.19,80,100,1.01,overcast clouds
300,Gat,IL,31.61,34.7642,56.79,21,43,7.38,scattered clouds
301,Ahipara,NZ,-35.1667,173.1667,59.56,90,38,5.35,scattered clouds
302,Darhan,MN,49.4867,105.9228,-0.44,99,100,0.69,overcast clouds
303,Ponta Do Sol,PT,32.6667,-17.1,68.0,66,25,6.96,scattered clouds
304,Kumylzhenskaya,RU,49.8809,42.5898,13.51,97,63,4.27,broken clouds
305,Trincomalee,LK,8.5711,81.2335,77.97,65,65,7.9,broken clouds
306,Muravlenko,RU,63.7898,74.523,1.17,97,86,9.93,overcast clouds
307,Kendari,ID,-3.945,122.4989,77.22,86,33,0.87,scattered clouds
308,Rio Grande,BR,-32.035,-52.0986,89.71,62,36,6.49,scattered clouds
309,Nizamabad,IN,18.6667,78.1167,75.31,36,0,1.66,clear sky
310,Umm Kaddadah,SD,13.6017,26.6876,77.34,8,3,14.09,clear sky
311,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,68,40,11.03,scattered clouds
312,Kilis,TR,36.7161,37.115,32.23,85,95,9.35,overcast clouds
313,Koutiala,ML,12.3917,-5.4642,88.11,8,6,13.31,clear sky
314,Palana,RU,59.1167,159.9667,-10.55,99,96,5.44,overcast clouds
315,Tete,MZ,-16.1564,33.5867,91.49,41,40,8.99,scattered clouds
316,Vilyuysk,RU,63.7553,121.6247,-10.19,100,91,4.99,overcast clouds
317,Boma,GH,7.0805,-2.1697,97.34,12,4,5.21,clear sky
318,Lasa,IT,46.6166,10.7002,44.37,90,47,9.06,scattered clouds
319,Inuvik,CA,68.3499,-133.7218,-6.74,81,100,8.05,light snow
320,Shipunovo,RU,52.1582,82.2173,-7.98,100,45,1.54,scattered clouds
321,Kloulklubed,PW,7.0419,134.2556,75.7,87,100,18.66,overcast clouds
322,Peleduy,RU,59.6289,112.7406,-8.14,100,99,2.84,overcast clouds
323,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds
324,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,20,1.01,few clouds
325,Sinnamary,GF,5.3833,-52.95,80.1,77,85,5.19,overcast clouds
326,Shingu,JP,33.7333,135.9833,38.32,61,52,4.52,broken clouds
327,College,US,64.8569,-147.8028,18.59,83,20,5.75,few clouds
328,Colares,PT,38.7992,-9.4469,59.99,50,0,7.0,clear sky
329,Hay River,CA,60.8156,-115.7999,-16.62,76,40,3.44,scattered clouds
330,Lashio,MM,22.9333,97.75,50.18,84,3,1.63,clear sky
331,Coihaique,CL,-45.5752,-72.0662,59.61,72,100,3.44,overcast clouds
332,Naron,ES,43.5167,-8.1528,58.05,47,0,4.32,clear sky
333,Sambava,MG,-14.2667,50.1667,76.51,86,100,1.12,light rain
334,Gamba,GA,-2.65,10.0,81.09,76,57,12.17,broken clouds
335,Ambilobe,MG,-13.2,49.05,74.61,94,100,10.71,moderate rain
336,Quimper,FR,48.0,-4.1,47.23,76,100,8.05,overcast clouds
337,Qaanaaq,GL,77.484,-69.3632,-2.99,98,100,1.14,overcast clouds
338,Pevek,RU,69.7008,170.3133,-35.28,99,97,3.67,overcast clouds
339,Usinsk,RU,65.9939,57.5281,9.79,95,100,13.71,overcast clouds
340,Padang,ID,-0.9492,100.3543,77.61,89,99,4.79,moderate rain
341,Fare,PF,-16.7,-151.0167,80.53,78,100,16.87,light rain
342,Airai,TL,-8.9266,125.4092,59.92,80,92,2.48,overcast clouds
343,Kailua,US,21.4022,-157.7394,73.38,87,40,3.44,scattered clouds
344,Sooke,CA,48.3746,-123.7276,43.57,91,62,11.5,broken clouds
345,Brooks,CA,50.5834,-111.8851,43.43,60,100,10.36,overcast clouds
346,Urucara,BR,-2.5364,-57.76,89.42,54,100,4.05,overcast clouds
