City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Trincomalee,LK,77.97,broken clouds,8.5711,81.2335,Welcombe Hotel
307,Kendari,ID,77.22,scattered clouds,-3.945,122.4989,Hotel Wixel
308,Rio Grande,BR,89.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
309,Nizamabad,IN,75.31,clear sky,18.6667,78.1167,Hostel Luxury A/C
313,Koutiala,ML,88.11,clear sky,12.3917,-5.4642,Hotel La Chaumiere
321,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
323,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
325,Sinnamary,GF,80.1,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
333,Sambava,MG,76.51,light rain,-14.2667,50.1667,Melrose
340,Padang,ID,77.61,moderate rain,-0.9492,100.3543,Mercure Padang
341,Fare,PF,80.53,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
346,Urucara,BR,89.42,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
349,Sabang,ID,82.2,few clouds,5.8933,95.3214,Hotel Citra
353,Mogadishu,SO,84.07,clear sky,2.0371,45.3438,Hotel Juba
362,Itarema,BR,85.86,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
365,Meulaboh,ID,78.84,few clouds,4.1363,96.1285,Kost Pria
366,Inhambane,MZ,80.58,moderate rain,-23.865,35.3833,Oceano
373,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
374,Ayorou,NE,83.95,few clouds,14.7308,0.9174,Hotel Amenokal
378,Vao,NC,77.92,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
382,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
383,Tanga,TZ,81.99,overcast clouds,-5.0667,39.1,Lulu Image Hotel
384,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
386,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
387,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
392,Jacareacanga,BR,88.11,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
395,Meiganga,CM,88.84,broken clouds,6.5167,14.3,DFR HOUSE
398,Saint-Pierre,RE,87.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
400,Tonantins,BR,76.62,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
404,Sao Miguel,BR,88.57,few clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
406,Sao Jose Da Coroa Grande,BR,85.68,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
